,name,latitude,longitude,cuisine,price
0,Kilian Stuba,47.34858,10.17114,Creative,3
1,Pfefferschiff,47.83787,13.07917,Classic cuisine,2
2,Esszimmer,47.80685,13.03409,Creative,3
3,Carpe Diem,47.80001,13.04006,Market cuisine,2
4,Edvard,48.216503,16.36852,Modern cuisine,1
5,Das Loft,48.21272,16.37931,Modern cuisine,3
6,Pramerl & the Wolf,48.20945,16.37174,Creative,1
7,Walter Bauer,48.20923,16.37672,Classic cuisine,3
8,SHIKI,48.204067,16.37098,Japanese,3
9,Tian,48.20513,16.37456,Vegetarian,4
10,aend,48.18957,16.34115,Modern cuisine,5
11,Le Ciel by Toni Mörwald,48.20209,16.37156,Classic cuisine,3
12,Chez TJ,37.39468,-122.08044,Contemporary,5
13,Protégé,37.427853,-122.14362,Contemporary,5
14,Madera,37.42014,-122.21151,Contemporary,5
15,The Village Pub,37.42897,-122.25178,Contemporary,3
16,Plumed Horse,37.25648,-122.03537,Contemporary,1
17,Wakuriya,37.52114,-122.3366,Japanese,3
18,Sushi Yoshizumi,37.565075,-122.3211,Japanese,5
19,Rasa,37.577522,-122.345985,Indian,3
20,Maum,37.72669,-122.414215,Korean,5
21,Al's Place,37.748924,-122.42013,Californian,2
22,Aster,37.755054,-122.423134,Californian,4
23,Omakase,37.77077,-122.40298,Japanese,3
24,Commonwealth,37.761395,-122.41946,Contemporary,3
25,Luce,37.78194,-122.40498,Contemporary,4
26,Birdsong,37.779495,-122.41048,American,2
27,In Situ,37.785633,-122.40113,International,2
28,Mourad,37.78695,-122.39987,Moroccan,2
29,Hashiri,37.783062,-122.40754,Japanese,3
30,Angler,37.793167,-122.39213,Contemporary,3
31,Rich Table,37.774914,-122.42271,Contemporary,3
32,Kin Khao,37.785267,-122.40951,Thai,1
33,Michael Mina,37.79349,-122.399574,Contemporary,1
34,Sons & Daughters,37.79037,-122.40917,Contemporary,5
35,Mister Jiu's,37.79371,-122.406654,Chinese,3
36,Nico,37.795803,-122.40333,Contemporary,1
37,jū-ni,37.77672,-122.43886,Japanese,3
38,Keiko à Nob Hill,37.793106,-122.41445,Fusion,2
39,The Progress,37.78371,-122.43282,Californian,2
40,State Bird Provisions,37.783737,-122.43283,American,5
41,Octavia,37.787857,-122.42709,Californian,1
42,SPQR,37.78732,-122.43375,Italian,1
43,Lord Stanley,37.79592,-122.42208,Californian,5
44,Kinjo,37.79699,-122.422005,Japanese,4
45,Sorrel,37.788334,-122.44614,Californian,4
46,Gary Danko,37.80599,-122.42066,Contemporary,2
47,Bar Crenn,37.798435,-122.43581,French,5
48,Spruce,37.78772,-122.45264,Californian,2
49,Wako,37.783035,-122.461525,Japanese,3
50,Madcap,37.974712,-122.56168,Contemporary,4
51,Aubergine,36.55406,-121.924355,Contemporary,3
52,Kenzo,38.29924,-122.28928,Japanese,2
53,La Toque,38.30351,-122.28349,Contemporary,3
54,Bouchon,38.40258,-122.3619,French,3
55,Auberge du Soleil,38.49199,-122.40534,Californian,3
56,Farmhouse Inn & Restaurant,38.49039,-122.8835,Californian,5
57,The Kitchen,38.58894,-121.41424,Contemporary,2
58,Madrona Manor,38.60428,-122.88647,Contemporary,3
59,Harbor House,39.135876,-123.719444,Californian,1
60,Shin Sushi,34.15784,-118.49415,Japanese,3
61,Rustic Canyon,34.024952,-118.49118,Californian,4
62,Dialogue,34.01679,-118.49748,Contemporary,3
63,Kato,34.041683,-118.460915,Asian,5
64,CUT,34.067036,-118.401024,Steakhouse,1
65,Nozawa Bar,34.0683,-118.39849,Japanese,3
66,Shunji,34.028496,-118.45195,Japanese,5
67,Maude,34.064346,-118.39904,Contemporary,1
68,Mori Sushi,34.033398,-118.44229,Japanese,5
69,Trois Mec,34.084255,-118.33851,Contemporary,3
70,Osteria Mozza,34.08342,-118.338974,Italian,1
71,Kali,34.083443,-118.32455,Californian,3
72,Le Comptoir,34.06354,-118.30057,Californian,3
73,Q Sushi,34.046883,-118.255844,Japanese,4
74,Shibumi,34.044155,-118.256134,Japanese,4
75,Hayato,34.03311,-118.24265,Japanese,1
76,Bistro Na's,34.104412,-118.07159,Chinese,3
77,Orsa & Winston,33.92145,-118.275406,Fusion,4
78,Taco María,33.69475,-117.924965,Mexican,2
79,Hana re,33.67759,-117.886566,Japanese,4
80,Addison,32.939903,-117.20013,Contemporary,1
81,Parachute,41.94483,-87.70638,Fusion,2
82,Goosefoot,41.96856,-87.69596,Contemporary,1
83,Elizabeth,41.969555,-87.688736,Contemporary,4
84,EL Ideas,41.863,-87.68686,Contemporary,4
85,Band of Bohemia,41.967308,-87.67477,Gastropub,1
86,Schwa,41.90888,-87.66792,Contemporary,1
87,Temporis,41.898907,-87.66725,Contemporary,2
88,Entente,41.93721,-87.6652,Contemporary,4
89,Elske,41.884426,-87.66071,Contemporary,2
90,Dusek's (Board & Beer),41.857853,-87.65757,Gastropub,1
91,Roister,41.886658,-87.65187,Contemporary,2
92,Boka,41.91363,-87.64806,Contemporary,5
93,Blackbird,41.88423,-87.64356,Contemporary,3
94,Sepia,41.88394,-87.64247,American,1
95,North Pond,41.9296,-87.63762,Contemporary,4
96,Everest,41.87597,-87.63212,French,3
97,Topolobampo,41.89047,-87.63085,Mexican,3
98,Spiaggia,41.90062,-87.62457,Italian,5
99,Monte,45.08279,13.631168,Creative,3
100,Draga di Lovrana,45.275867,14.251401,Modern cuisine,4
101,Noel,45.811054,15.988205,Modern cuisine,1
102,Pelegrini,43.73603,15.888903,Modern cuisine,5
103,360º,42.641563,18.111523,Modern cuisine,4
104,Field,50.0919,14.42193,Modern cuisine,2
105,La Degustation Bohême Bourgeoise,50.09115,14.42511,Modern cuisine,5
106,Gastromé,56.15788,10.20937,Modern cuisine,3
107,Domestic,56.15893,10.212132,Modern cuisine,1
108,Substans,56.15415,10.20372,Modern cuisine,5
109,Frederikshøj,56.12497,10.208638,Creative,2
110,Me‚Mu,55.70901,9.53302,Modern cuisine,3
111,Ti Trin Ned,55.56659,9.752689,Modern cuisine,4
112,Slotskøkkenet,55.771236,11.390805,Creative,4
113,Søllerød Kro,55.81325,12.49548,Modern cuisine,1
114,Jordnær,55.748226,12.541014,Danish,2
115,Relæ,55.693233,12.543222,Modern cuisine,2
116,Kiin Kiin,55.69188,12.55754,Thai,3
117,formel B,55.67031,12.53798,Modern cuisine,1
118,Kokkeriet,55.68768,12.58492,Modern cuisine,1
119,Clou,55.68342,12.58497,Modern cuisine,2
120,Marchal,55.68034,12.58508,Modern cuisine,5
121,Kong Hans Kælder,55.6787,12.584003,Classic French,2
122,Stud!o at The Standard,55.67799,12.59191,Creative,2
123,108,55.67785,12.5980835,Modern cuisine,3
124,Era Ora,55.673004,12.591292,Italian,4
125,Alouette,55.66265,12.57634,Modern cuisine,3
126,Frederiksminde,55.12417,12.04623,Creative,3
127,Kadeau Bornholm,55.00457,14.969216,Creative,4
128,Ask,60.17236,24.95648,Modern cuisine,2
129,Grön,60.16446,24.93308,Finnish,2
130,Demo,60.164806,24.941635,Modern cuisine,1
131,Olo,60.16616,24.947704,Modern cuisine,5
132,Palace,60.16556,24.95256,Modern cuisine,4
133,Ora,60.157578,24.942947,Modern cuisine,3
134,Botrini's,38.02318,23.79377,Mediterranean,1
135,Varoulko Seaside,37.937378,23.658577,Seafood,3
136,Hytra,37.95818,23.71895,Modern cuisine,4
137,Loaf On,22.379858,114.27188,Cantonese,1
138,Lei Garden (Kwun Tong),22.312672,114.22482,Cantonese,2
139,Tim Ho Wan (Sham Shui Po),22.32805,114.16665,Dim Sum,3
140,Lei Garden (Mong Kok),22.320219,114.17133,Cantonese,4
141,Ming Court,22.318314,114.16933,Cantonese,5
142,Yat Tung Heen (Jordan),22.308014,114.17147,Cantonese,4
143,Fu Ho (Tsim Sha Tsui),22.3022,114.17194,Cantonese,5
144,Shang Palace,22.297325,114.177155,Cantonese,2
145,IM Teppanyaki & Wine,22.280807,114.19211,Teppanyaki,2
146,Ah Yat Harbour View (Tsim Sha Tsui),22.296984,114.17197,Cantonese,2
147,Rech,22.293434,114.174034,Seafood,5
148,Spring Moon,22.294943,114.17182,Cantonese,5
149,Imperial Treasure Fine Chinese Cuisine,22.296177,114.170006,Cantonese,4
150,Sushi Tokami,22.296112,114.16916,Sushi,3
151,Tosca,22.30357,114.16007,Italian,4
152,Épure,22.29583,114.169304,French,2
153,Yee Tung Heen,22.282295,114.184135,Cantonese,4
154,Yè Shanghai (Tsim Sha Tsui),22.295143,114.168236,Shanghainese,5
155,Ho Hung Kee,22.280058,114.18364,Noodles and congee,4
156,Jardin de Jade (Wan Chai),22.28025,114.17716,Shanghainese,3
157,Zhejiang Heen,22.2787,114.17763,Shanghainese,4
158,Takumi by Daisuke Mori,22.276512,114.17718,Innovative,4
159,Kam's Roast Goose,22.277693,114.175385,Cantonese Roast Meats,5
160,Pang's Kitchen,22.26921,114.18452,Cantonese,5
161,Xin Rong Ji,22.278013,114.17273,Taizhou,5
162,Qi (Wan Chai),22.276443,114.17126,Sichuan,1
163,Man Wah,22.282213,114.15951,Cantonese,5
164,Summer Palace,22.277136,114.1643,Cantonese,1
165,Octavium,22.282587,114.1572,Italian,1
166,Arbor,22.283146,114.15542,Innovative,3
167,VEA,22.284931,114.15313,Innovative,4
168,Mandarin Grill + Bar,22.281048,114.1574,European contemporary,5
169,Yat Lok,22.28226,114.155655,Cantonese Roast Meats,4
170,Guo Fu Lou,22.278313,114.16034,Cantonese,3
171,Celebrity Cuisine,22.284334,114.15312,Cantonese,5
172,Sushi Wadatsumi,22.281038,114.15646,Sushi,1
173,Arcane,22.280624,114.15682,European contemporary,2
174,Duddell's,22.28008,114.157364,Cantonese,4
175,Beefbar,22.27982,114.15752,Steakhouse,3
176,New Punjab Club,22.28005,114.15525,Indian,3
177,Kaiseki Den by Saotome,22.285713,114.147865,Japanese,1
178,Belon,22.281662,114.152405,French,3
179,Tate,22.280996,114.15276,Innovative,5
180,The Ocean,22.235146,114.198524,French,3
181,Costes Downtown,47.50113,19.048595,Modern cuisine,2
182,Borkonyha Winekitchen,47.49953,19.052391,Modern cuisine,1
183,Stand,47.500244,19.059624,Modern cuisine,4
184,Babel,47.492603,19.05256,Modern cuisine,5
185,Costes,47.48873,19.061779,Modern cuisine,5
186,The Kitchen,22.191442,113.543,Steakhouse,2
187,Tim's Kitchen,22.189898,113.5439,Cantonese,4
188,Wing Lei,22.188028,113.54578,Cantonese,4
189,King,22.190178,113.54028,Cantonese,3
190,Ying,22.161234,113.555405,Cantonese,5
191,Shinji by Kanesaka,22.149635,113.56397,Sushi,3
192,The Golden Peacock,22.148178,113.56335,Indian,5
193,Zi Yat Heen,22.145418,113.56152,Cantonese,5
194,8 1/2 Otto e Mezzo - Bombana,22.14918,113.55393,Italian,1
195,Pearl Dragon,22.140524,113.56256,Cantonese,5
196,Lai Heen,22.148754,113.551926,Cantonese,4
197,FAGN,63.43392,10.39628,Modern cuisine,2
198,Credo,63.43391,10.39631,Creative,3
199,RE-NAA,58.972088,5.732877,Creative,5
200,Sabi Omakase,58.969936,5.7433133,Sushi,5
201,Galt,59.91661,10.71369,Modern cuisine,4
202,Kontrast,59.92355,10.75106,Scandinavian,3
203,Statholdergaarden,59.90937,10.74305,Classic cuisine,1
204,Del Posto,40.74327,-74.0077,Italian,2
205,Le Grill de Joël Robuchon,40.742897,-74.0077,French,2
206,L'Appart,40.711903,-74.01544,French,2
207,Okuda,40.743793,-74.00633,Japanese,2
208,Wallsé,40.73538,-74.00814,Austrian,3
209,Jeju Noodle Bar,40.732952,-74.00744,Korean,3
210,Sushi Nakazawa,40.731716,-74.00451,Japanese,3
211,Kosaka,40.738316,-74.00137,Japanese,3
212,Bâtard,40.719616,-74.00589,Contemporary,4
213,Hirohisa,40.72452,-74.003006,Japanese,2
214,Blue Hill,40.7321,-73.9996,American,2
215,ZZ's Clam Bar,40.727646,-74.00046,Seafood,3
216,Babbo,40.73233,-73.99916,Italian,4
217,Carbone,40.727966,-74.00017,Italian,1
218,Le Coucou,40.719162,-74.00001,French,5
219,Aldea,40.73885,-73.99366,Mediterranean,4
220,Cote,40.73778,-73.99375,Korean,1
221,Bouley at Home,40.74114,-73.99242,Contemporary,3
222,Gotham Bar and Grill,40.73417,-73.99379,American,5
223,Nix,40.733166,-73.993515,Vegetarian,2
224,Junoon,40.74325,-73.99077,Indian,2
225,NoMad,40.74497,-73.98883,Contemporary,1
226,The Musket Room,40.723915,-73.99375,Contemporary,4
227,Uncle Boons,40.721203,-73.99441,Thai,2
228,Noda,40.74497,-73.988075,Japanese,5
229,Gramercy Tavern,40.73849,-73.98868,Contemporary,1
230,The Clocktower,40.7414,-73.987595,Contemporary,2
231,Ai Fiori,40.75013,-73.98357,Italian,3
232,Casa Mono,40.73595,-73.98706,Spanish,2
233,Jewel Bako,40.72713,-73.98928,Japanese,3
234,The River Café,40.703613,-73.994774,Contemporary,2
235,Bar Uchū,40.72191,-73.99003,Japanese,2
236,Café China,40.749973,-73.98228,Chinese,2
237,Kanoyama,40.73071,-73.98655,Japanese,2
238,Contra,40.719917,-73.98922,Contemporary,4
239,Atomix,40.744408,-73.98292,Korean,2
240,Kyo Ya,40.7266,-73.98526,Japanese,1
241,Kajitsu,40.72776,-73.98428,Japanese,1
242,Agern,40.75234,-73.9775,Scandinavian,5
243,Caviar Russe,40.760685,-73.97355,Contemporary,5
244,Tuome,40.724194,-73.9828,Fusion,5
245,Tempura Matsui,40.74839,-73.97474,Japanese,3
246,Sushi Yasuda,40.75108,-73.97364,Japanese,5
247,Sushi Amane,40.75133,-73.971725,Japanese,4
248,Café Boulud,40.77439,-73.96414,French,5
249,Claro,40.677395,-73.98615,Mexican,3
250,Satsuki,40.801243,-73.95187,Japanese,3
251,Sushi Noz,40.77384,-73.958275,Japanese,4
252,Sushi Inoue,40.810448,-73.943726,Japanese,5
253,Meadowsweet,40.710354,-73.96317,Mediterranean,2
254,Casa Enríque,40.743492,-73.95425,Mexican,1
255,Peter Luger,40.70986,-73.96263,Steakhouse,1
256,Oxomoco,40.730057,-73.95538,Mexican,4
257,The Finch,40.68704,-73.96297,American,3
258,Faro,40.707584,-73.923035,American,4
259,Senses,52.244583,21.005886,Modern cuisine,1
260,atelier Amaro,52.21708,21.03768,Modern cuisine,1
261,Aniar,53.27112,-9.057078,Creative,3
262,Loam,53.27384,-9.044447,Creative,5
263,Wild Honey Inn,53.03151,-9.2911,Classic cuisine,4
264,Chestnut,51.562588,-9.460854,Modern cuisine,1
265,Mews,51.48285,-9.37234,Modern cuisine,3
266,Ichigo Ichie,51.898167,-8.479933,Japanese,3
267,Chapter One,53.354374,-6.263786,Modern cuisine,3
268,Greenhouse,53.340042,-6.258506,Modern cuisine,2
269,L'Ecrivain,53.33627,-6.24834,Modern cuisine,5
270,Campagne,52.6559,-7.2464285,Modern British,5
271,Heron & Grey,53.30143,-6.177574,Modern cuisine,2
272,Lady Helen,52.526096,-7.188277,Modern cuisine,2
273,House,51.94777,-7.7135396,Modern cuisine,4
274,Olympe,-22.96109,-43.20658,French,2
275,Lasai,-22.95401,-43.19557,modern,1
276,Oteque,-22.95747,-43.194424,modern,3
277,Mee,-22.96764,-43.17925,Asian influences,3
278,Cipriani,-22.96755,-43.17901,Italian,4
279,Jun Sakamoto,-23.56318,-46.67737,Japanese,3
280,Maní,-23.56621,-46.67974,creative,1
281,Evvai,-23.567078,-46.679146,modern,3
282,Picchi,-23.565063,-46.666767,Italian,3
283,Kosushi,-23.58522,-46.6809,Japanese,2
284,Ryo Gastronomia,-23.58132,-46.6767,Japanese,3
285,Tangará Jean-Georges,-23.634005,-46.72428,modern,2
286,Kinoshita,-23.59159,-46.67146,Japanese,3
287,Kan Suke,-23.5684,-46.64936,Japanese,3
288,Huto,-23.60882,-46.6598,Japanese,4
289,Stay,37.513004,127.10257,French contemporary,2
290,Lee Jong Kuk 104,37.592903,126.997284,Korean,3
291,Hansikgonggan,37.577705,126.98852,Korean,5
292,Dining in Space,37.57761,126.98845,French contemporary,2
293,Exquisine,37.521046,127.049736,Innovative,1
294,Dosa,37.52445,127.04441,Innovative,5
295,Joo Ok,37.52252,127.04396,Korean contemporary,3
296,Balwoo Gongyang,37.57389,126.98318,Temple cuisine,4
297,Muoki,37.518963,127.04217,Innovative,5
298,L'Amitié,37.522675,127.032646,French,1
299,Yu Yuan,37.57045,126.97534,Chinese,1
300,Bicena,37.5384,127.00135,Korean,5
301,Mosu,37.536415,126.99934,Innovative,5
302,Poom,37.54903,126.98341,Korean,2
303,Soigné,37.49816,127.002,Innovative,2
304,Table for Four,37.49769,126.99442,European contemporary,5
305,Zero Complex,37.49417,126.9948,Innovative,3
306,Jin Jin,37.55777,126.91324,Chinese,2
307,Gotgan,37.52212,126.92022,Korean,4
308,Hill Street Tai Hwa Pork Noodle,1.3052,103.8624,Street Food,3
309,Putien (Kitchener Road),1.30969,103.8573,Fujian,1
310,Chef Kang's,1.304735,103.84955,Cantonese,2
311,Garibaldi,1.296564,103.855,Italian,1
312,Summer Pavilion,1.291284,103.8603,Cantonese,4
313,Shinji (Bras Basah Road),1.2959028,103.8539,Sushi,2
314,The Song of India,1.310767,103.8353,Indian,5
315,Lei Garden,1.295228,103.8521,Cantonese,5
316,Whitegrass,1.295452,103.8516,Australian,1
317,Jaan,1.293184,103.8529,French contemporary,4
318,Labyrinth,1.2899688,103.8562,Innovative,1
319,Cut,1.2853268,103.8607,Steakhouse,3
320,Alma,1.309123,103.834,European contemporary,4
321,Béni,1.302379,103.8366,French contemporary,4
322,Crystal Jade Golden Palace,1.303244,103.8353,Chinese,2
323,Imperial Treasure Fine Teochew Cuisine (Orchard),1.3032448,103.8349,Chinese,1
324,Saint Pierre,1.285781,103.8538,French contemporary,4
325,Sushi Ichi,1.305105,103.8324,Sushi,1
326,Sushi Kimura,1.3063719,103.829475,Sushi,3
327,Iggy's,1.305986,103.8294,European contemporary,4
328,Braci,1.287212,103.84949,Italian contemporary,2
329,Jiang-Nan Chun,1.304937,103.8288,Cantonese,1
330,Bacchanalia,1.2874758,103.8474,Innovative,4
331,Shinji (Tanglin Road),1.305821,103.8257,Sushi,1
332,Corner House,1.315121,103.8154,Innovative,3
333,Summer Palace,1.3043848,103.825,Cantonese,5
334,Cheek by Jowl,1.281301,103.84849,Australian,2
335,Nouri,1.28086,103.84713,Innovative,3
336,Liao Fan Hong Kong Soya Sauce Chicken Rice & Noodle,1.28248,103.8439,Street Food,2
337,Burnt Ends,1.280501,103.8418,Barbecue,1
338,Rhubarb,1.279368,103.843,French contemporary,3
339,Meta,1.279372,103.8415,Innovative,4
340,Ma Cuisine,1.27826,103.842,French,3
341,Candlenut,1.2797709,103.8402,Peranakan,3
