,Unnamed: 0,name,latitude,longitude,cuisine,price
0,0,SENNS.Restaurant,47.83636,13.06389,Creative,5
1,1,Ikarus,47.79536,13.00695,Creative,5
2,2,Mraz & Sohn,48.23129,16.37637,Creative,5
3,3,Konstantin Filippou,48.21056,16.37996,Modern cuisine,5
4,4,Silvio Nickol Gourmet Restaurant,48.20558,16.37693,Modern cuisine,5
5,5,Steirereck im Stadtpark,48.20229,16.3805,Creative,5
6,6,Baumé,37.4285,-122.14272,Contemporary,4
7,7,Commis,37.82476,-122.25505,Contemporary,4
8,8,Californios,37.75555,-122.417145,Mexican,4
9,9,Lazy Bear,37.760204,-122.41969,Contemporary,4
10,10,Saison,37.76327,-122.41543,Californian,4
11,11,Campton Place,37.78923,-122.40665,Indian,4
12,12,Coi,37.79812,-122.40331,Contemporary,4
13,13,Acquerello,37.79167,-122.42131,Italian,4
14,14,Urasawa,34.067352,-118.40067,Japanese,4
15,15,Sushi Ginza Onodera,34.08238,-118.37654,Japanese,4
16,16,Somni,34.070095,-118.37649,Contemporary,4
17,17,Providence,34.083523,-118.33019,Seafood,4
18,18,n/naka,34.02526,-118.41206,Contemporary,4
19,19,Vespertine,34.024204,-118.38166,Contemporary,4
20,20,Smyth,41.885,-87.660736,Contemporary,4
21,21,Oriole,41.886196,-87.64513,Contemporary,4
22,22,Acadia,41.85904,-87.62562,Contemporary,4
23,23,KOKS,62.13667,-7.022025,Creative,4
24,24,Henne Kirkeby Kro,55.72682,8.242021,Classic cuisine,3
25,25,a‚o‚c,55.68305,12.58921,Modern cuisine,4
26,26,noma,55.68332,12.61006,Creative,4
27,27,Kadeau Copenhagen,55.67219,12.58848,Modern cuisine,4
28,28,Spondi,37.96525,23.742971,French,5
29,29,Sun Tung Lok,22.30099,114.17221,Cantonese,2
30,30,Yan Toh Heen,22.293337,114.17395,Cantonese,3
31,31,Tin Lung Heen,22.30357,114.16007,Cantonese,3
32,32,Tenku RyuGin,22.30331,114.16021,Japanese,5
33,33,Forum,22.281616,114.1824,Cantonese,2
34,34,Sushi Saito,22.286467,114.15677,Sushi,5
35,35,Pierre,22.282127,114.15948,French contemporary,4
36,36,Ying Jee Club,22.284338,114.156654,Cantonese,2
37,37,Écriture,22.28315,114.1554,French contemporary,3
38,38,Ta Vie,22.282766,114.15529,Innovative,5
39,39,Amber,22.280596,114.15764,French contemporary,4
40,40,Kashiwaya,22.280643,114.15674,Japanese,4
41,41,Onyx,47.49712,19.05067,Modern cuisine,5
42,42,Feng Wei Ju,22.18996,113.54794,Hunanese and Sichuan,1
43,43,Golden Flower,22.18753,113.54806,Chinese,2
44,44,Mizumi (Macau),22.188755,113.54488,Japanese,2
45,45,The Tasting Room,22.14958,113.56505,French contemporary,3
46,46,Alain Ducasse at Morpheus,22.14293,113.563774,French contemporary,5
47,47,L'Atelier de Joël Robuchon,40.742905,-74.00769,French,4
48,48,Jungsik,40.718685,-74.00911,Korean,4
49,49,Atera,40.716797,-74.00565,Contemporary,4
50,50,Jean-Georges,40.76907,-73.98155,Contemporary,4
51,51,Marea,40.76749,-73.98114,Seafood,4
52,52,Gabriel Kreuther,40.75397,-73.982025,Contemporary,4
53,53,Ichimura at Uchū,40.721832,-73.99012,Japanese,4
54,54,Sushi Ginza Onodera,40.752396,-73.981575,Japanese,4
55,55,Ko,40.72909,-73.98448,Contemporary,4
56,56,The Modern,40.76106,-73.97628,Contemporary,4
57,57,Aquavit,40.76078,-73.97214,Scandinavian,4
58,58,Daniel,40.7666,-73.96745,French,4
59,59,Aska,40.71222,-73.96642,Scandinavian,4
60,60,Blanca,40.70492,-73.93354,Contemporary,4
61,61,Patrick Guilbaud,53.33893,-6.25283,Modern French,3
62,62,Oro,-22.98601,-43.22471,creative,5
63,63,Tuju,-23.55653,-46.69083,creative,5
64,64,D.O.M.,-23.56618,-46.66742,creative,5
65,65,Kojima,37.52559,127.04193,Sushi,5
66,66,Jungsik,37.525585,127.04107,Korean contemporary,3
67,67,Kwonsooksoo,37.526752,127.03571,Korean,3
68,68,Mingles,37.52219,127.0392,Korean contemporary,3
69,69,Alla Prima,37.51844,127.03008,Innovative,3
70,70,Waku Ghin,1.283175,103.8598,Japanese contemporary,5
71,71,Odette,1.2896459,103.8516,French contemporary,4
72,72,Shoukouwa,1.2863698,103.854,Sushi,5
73,73,Shisen Hanten,1.302395,103.8365,Chinese,1
74,74,Les Amis,1.3066648,103.8314,French,3
75,75,Fäviken Magasinet,63.43626,13.29337,Creative,4
76,76,Gastrologik,59.33365,18.0807,Creative,4
77,77,Oaxen Krog,59.322342,18.101831,Creative,4
78,78,Vollmers,55.604427,12.995848,Creative,4
79,79,Daniel Berlin,55.61246,13.99265,Creative,4
80,80,RAW,25.082666,121.559525,Innovative,3
81,81,Shoun RyuGin,25.08258,121.5595,Japanese contemporary,4
82,82,Taïrroir,25.082718,121.559296,Innovative,3
83,83,Sushi Amamoto,25.037945,121.55487,Sushi,4
84,84,The Guest House,25.04486,121.52198,Sichuan-Huai Yang,2
85,85,Gaggan,13.737679,100.542145,Innovative,5
86,86,Sühring,13.710947,100.545654,European contemporary,4
87,87,Mezzaluna,13.722148,100.51691,Innovative,5
88,88,Le Normandie,13.723197,100.513855,French contemporary,4
89,89,minibar,38.896294,-77.02386,Contemporary,4
90,90,Pineapple and Pearls,38.880707,-76.99514,Contemporary,4
91,91,Andrew Fairlie at Gleneagles,56.28339,-3.75149,Creative French,3
92,92,L'Enclume,54.201885,-2.953807,Creative,3
93,93,Raby Hunt,54.56647,-1.689258,Modern British,3
94,94,Moor Hall,53.54162,-2.8895495,Modern British,3
95,95,Restaurant Sat Bains,52.92438,-1.1733198,Creative,3
96,96,Restaurant Nathan Outlaw,50.594086,-4.82854,Seafood,3
97,97,Belmond Le Manoir aux Quat' Saisons,51.71674,-1.09187,French,3
98,98,Midsummer House,52.21243,0.12779,Modern cuisine,3
99,99,Hand and Flowers,51.57031,-0.78113,Modern British,3
100,100,Ledbury,51.51674,-0.20007,Modern cuisine,3
101,101,CORE by Clare Smyth,51.51261,-0.2030516,Modern British,3
102,102,Le Gavroche,51.51127,-0.15517,French,3
103,103,Kitchen Table at Bubbledogs,51.52041,-0.13647,Modern cuisine,3
104,104,Hélène Darroze at The Connaught,51.5101,-0.1495701,Modern cuisine,3
105,105,Dinner by Heston Blumenthal,51.50208,-0.16011,Traditional British,3
106,106,Umu,51.5113,-0.14455,Japanese,3
107,107,Sketch (The Lecture Room & Library),51.51287,-0.14136,Modern French,3
108,108,Greenhouse,51.50769,-0.14926,Creative,3
109,109,Claude Bosi at Bibendum,51.49341,-0.1690893,French,3
